invoice_id,branch,city,customer_type,gender,category,cogs,sale,date,time,payment_method,review,gross_margin,month,day_of_week,hour
319-50-3348,B,Chicago,Normal,Female,Home and lifestyle,80.6,84.63,2019-03-11,15:30:00,Ewallet,4.4,4.030000000000001,March,Monday,15
300-71-4605,C,Houston,Member,Male,Electronic accessories,430.2,451.71,2019-02-25,11:24:00,Ewallet,4.8,21.50999999999999,February,Monday,11
371-85-5789,B,Chicago,Normal,Male,Health and beauty,263.94,277.137,2019-03-05,10:40:00,Ewallet,5.1,13.197000000000003,March,Tuesday,10
273-16-6619,B,Chicago,Normal,Male,Home and lifestyle,66.4,69.72,2019-03-15,12:20:00,Credit card,4.4,3.319999999999993,March,Friday,12
636-48-8204,A,Nueva York,Normal,Male,Electronic accessories,172.8,181.44,2019-02-17,11:15:00,Ewallet,9.9,8.639999999999986,February,Sunday,11
549-59-1358,A,Nueva York,Member,Male,Sports and travel,265.89,279.1845,2019-03-02,17:36:00,Ewallet,6.0,13.294500000000028,March,Saturday,17
227-03-5010,A,Nueva York,Member,Female,Home and lifestyle,420.72,441.756,2019-03-22,19:20:00,Credit card,8.5,21.035999999999945,March,Friday,19
649-29-6775,B,Chicago,Normal,Male,Fashion accessories,33.52,35.196,2019-02-08,15:31:00,Cash,6.7,1.6759999999999948,February,Friday,15
189-17-4241,A,Nueva York,Normal,Female,Fashion accessories,175.34,184.107,2019-03-10,12:17:00,Credit card,7.7,8.766999999999996,March,Sunday,12
145-94-9061,B,Chicago,Normal,Female,Food and beverages,441.8,463.89,2019-01-25,19:48:00,Cash,9.6,22.089999999999975,January,Friday,19
848-62-7243,A,Nueva York,Normal,Male,Health and beauty,224.01,235.2105,2019-03-15,15:36:00,Cash,7.4,11.200500000000005,March,Friday,15
871-79-8483,B,Chicago,Normal,Male,Fashion accessories,470.65,494.1825,2019-02-25,19:39:00,Credit card,4.8,23.532500000000027,February,Monday,19
149-71-6266,B,Chicago,Member,Male,Sports and travel,702.63,737.7615,2019-01-28,12:43:00,Cash,4.5,35.13149999999996,January,Monday,12
640-49-2076,B,Chicago,Normal,Male,Sports and travel,670.24,703.752,2019-01-10,14:49:00,Cash,5.1,33.511999999999944,January,Thursday,14
595-11-5460,A,Nueva York,Normal,Male,Health and beauty,193.16,202.818,2019-03-15,10:12:00,Credit card,5.1,9.658000000000015,March,Friday,10
183-56-6882,C,Houston,Member,Female,Food and beverages,397.68,417.564,2019-02-06,10:42:00,Ewallet,7.5,19.884000000000015,February,Wednesday,10
232-16-2483,C,Houston,Member,Female,Sports and travel,68.12,71.526,2019-01-07,12:28:00,Ewallet,6.8,3.4059999999999917,January,Monday,12
129-29-8530,A,Nueva York,Member,Male,Sports and travel,313.1,328.755,2019-03-10,19:15:00,Ewallet,7.0,15.654999999999973,March,Sunday,19
272-65-1806,A,Nueva York,Normal,Female,Electronic accessories,547.92,575.316,2019-01-15,17:17:00,Ewallet,4.7,27.396000000000072,January,Tuesday,17
333-73-7901,C,Houston,Normal,Female,Health and beauty,439.36,461.328,2019-03-23,13:24:00,Ewallet,7.6,21.96799999999996,March,Saturday,13
777-82-7220,B,Chicago,Member,Male,Home and lifestyle,240.96,253.008,2019-03-03,13:01:00,Cash,7.7,12.048000000000002,March,Sunday,13
280-35-5823,B,Chicago,Member,Female,Home and lifestyle,86.72,91.056,2019-01-17,18:45:00,Ewallet,7.9,4.3359999999999985,January,Thursday,18
554-53-8700,C,Houston,Member,Male,Home and lifestyle,112.22,117.831,2019-02-02,10:11:00,Cash,6.3,5.611000000000004,February,Saturday,10
354-25-5821,B,Chicago,Member,Female,Sports and travel,414.72,435.456,2019-02-08,13:03:00,Cash,5.6,20.73599999999999,February,Friday,13
228-96-1411,C,Houston,Member,Female,Food and beverages,789.6,829.08,2019-03-04,20:39:00,Cash,7.6,39.48000000000002,March,Monday,20
617-15-4209,C,Houston,Member,Male,Health and beauty,30.74,32.277,2019-03-16,19:47:00,Cash,7.2,1.5370000000000026,March,Saturday,19
132-32-9879,B,Chicago,Member,Female,Electronic accessories,375.84,394.632,2019-03-09,18:00:00,Cash,9.5,18.79200000000003,March,Saturday,18
370-41-7321,B,Chicago,Member,Male,Health and beauty,510.21,535.7205,2019-02-27,17:24:00,Credit card,8.4,25.510500000000036,February,Wednesday,17
727-46-3608,B,Chicago,Member,Female,Food and beverages,180.09,189.0945,2019-02-06,15:47:00,Ewallet,4.1,9.004500000000007,February,Wednesday,15
669-54-1719,B,Chicago,Member,Male,Electronic accessories,113.58,119.259,2019-02-10,12:45:00,Credit card,8.1,5.679000000000002,February,Sunday,12
574-22-5561,C,Houston,Member,Female,Fashion accessories,826.3,867.615,2019-03-19,17:08:00,Ewallet,7.9,41.315000000000055,March,Tuesday,17
326-78-5178,C,Houston,Member,Male,Food and beverages,639.8,671.79,2019-02-03,10:19:00,Cash,9.5,31.99000000000001,February,Sunday,10
162-48-8011,A,Nueva York,Member,Female,Food and beverages,222.95,234.0975,2019-02-10,15:10:00,Cash,8.5,11.147500000000008,February,Sunday,15
616-24-2851,B,Chicago,Member,Female,Fashion accessories,71.48,75.054,2019-03-22,14:42:00,Ewallet,6.5,3.573999999999998,March,Friday,14
778-71-5554,C,Houston,Member,Male,Fashion accessories,15.43,16.2015,2019-01-25,15:46:00,Credit card,6.1,0.7714999999999996,January,Friday,15
242-55-6721,B,Chicago,Normal,Male,Home and lifestyle,32.32,33.936,2019-03-07,11:49:00,Ewallet,6.5,1.6159999999999997,March,Thursday,11
399-46-5918,C,Houston,Normal,Female,Electronic accessories,687.84,722.232,2019-02-28,19:01:00,Cash,8.2,34.39199999999994,February,Thursday,19
106-35-6779,A,Nueva York,Member,Male,Home and lifestyle,88.68,93.114,2019-03-27,11:26:00,Cash,5.8,4.4339999999999975,March,Wednesday,11
635-40-6220,A,Nueva York,Normal,Male,Health and beauty,716.8,752.64,2019-02-07,11:28:00,Ewallet,6.6,35.84000000000003,February,Thursday,11
817-48-8732,A,Nueva York,Member,Female,Home and lifestyle,723.5,759.675,2019-01-20,15:55:00,Cash,5.4,36.174999999999955,January,Sunday,15
120-06-4233,C,Houston,Normal,Male,Electronic accessories,183.66,192.843,2019-03-12,20:36:00,Cash,9.3,9.182999999999993,March,Tuesday,20
285-68-5083,C,Houston,Member,Female,Sports and travel,74.22,77.931,2019-02-15,17:47:00,Credit card,10.0,3.7109999999999985,February,Friday,17
803-83-5989,C,Houston,Normal,Male,Home and lifestyle,334.38,351.099,2019-02-24,10:55:00,Ewallet,7.0,16.718999999999994,February,Sunday,10
347-34-2234,B,Chicago,Member,Female,Sports and travel,495.63,520.4115,2019-02-03,13:40:00,Ewallet,10.0,24.78150000000005,February,Sunday,13
199-75-8169,A,Nueva York,Member,Male,Sports and travel,158.1,166.005,2019-03-06,12:27:00,Credit card,8.6,7.905000000000001,March,Wednesday,12
853-23-2453,B,Chicago,Member,Male,Health and beauty,302.96,318.108,2019-02-14,14:35:00,Cash,7.6,15.148000000000025,February,Thursday,14
877-22-3308,A,Nueva York,Member,Male,Health and beauty,158.7,166.635,2019-03-13,16:40:00,Cash,5.8,7.935000000000002,March,Wednesday,16
838-78-4295,C,Houston,Normal,Female,Health and beauty,66.94,70.287,2019-02-10,15:43:00,Ewallet,6.7,3.3470000000000084,February,Sunday,15
109-28-2512,B,Chicago,Member,Female,Fashion accessories,585.66,614.943,2019-01-07,15:01:00,Ewallet,9.9,29.283000000000015,January,Monday,15
232-11-3025,A,Nueva York,Normal,Male,Sports and travel,787.7,827.085,2019-01-24,10:04:00,Cash,6.4,39.38499999999999,January,Thursday,10
382-03-4532,A,Nueva York,Member,Female,Health and beauty,18.33,19.2465,2019-02-02,18:50:00,Cash,4.3,0.9165000000000028,February,Saturday,18
393-65-2792,C,Houston,Normal,Male,Food and beverages,894.8,939.54,2019-01-06,12:46:00,Credit card,9.6,44.74000000000001,January,Sunday,12
796-12-2025,C,Houston,Normal,Male,Fashion accessories,621.2,652.26,2019-02-11,16:19:00,Cash,5.9,31.059999999999945,February,Monday,16
510-95-6347,B,Chicago,Member,Female,Food and beverages,145.56,152.838,2019-03-05,18:17:00,Ewallet,4.0,7.277999999999992,March,Tuesday,18
841-35-6630,C,Houston,Normal,Female,Electronic accessories,455.46,478.233,2019-03-09,18:21:00,Cash,8.7,22.773000000000025,March,Saturday,18
287-21-9091,A,Nueva York,Normal,Male,Home and lifestyle,672.03,705.6315,2019-01-22,10:55:00,Ewallet,9.4,33.60149999999999,January,Tuesday,10
732-94-0499,C,Houston,Normal,Female,Electronic accessories,416.5,437.325,2019-01-13,17:04:00,Credit card,5.4,20.82499999999999,January,Sunday,17
263-10-3913,C,Houston,Member,Male,Fashion accessories,441.36,463.428,2019-01-09,14:20:00,Credit card,8.6,22.067999999999984,January,Wednesday,14
381-20-0914,A,Nueva York,Member,Female,Fashion accessories,180.09,189.0945,2019-01-12,15:48:00,Credit card,5.7,9.004500000000007,January,Saturday,15
829-49-1914,C,Houston,Member,Female,Food and beverages,783.1,822.255,2019-03-05,16:24:00,Ewallet,6.6,39.15499999999997,March,Tuesday,16
756-01-7507,C,Houston,Normal,Female,Health and beauty,101.9,106.995,2019-01-22,18:56:00,Cash,6.0,5.094999999999999,January,Tuesday,18
870-72-4431,C,Houston,Normal,Female,Health and beauty,595.14,624.897,2019-01-21,14:42:00,Credit card,5.5,29.757000000000062,January,Monday,14
847-38-7188,B,Chicago,Normal,Female,Food and beverages,290.04,304.542,2019-01-26,19:56:00,Ewallet,6.4,14.501999999999953,January,Saturday,19
480-63-2856,C,Houston,Normal,Male,Food and beverages,154.0,161.7,2019-01-23,18:37:00,Ewallet,6.6,7.699999999999989,January,Wednesday,18
787-56-0757,C,Houston,Member,Female,Food and beverages,321.44,337.512,2019-02-23,18:45:00,Credit card,8.3,16.072000000000003,February,Saturday,18
360-39-5055,C,Houston,Member,Male,Sports and travel,244.55,256.7775,2019-03-09,10:17:00,Cash,6.6,12.227499999999964,March,Saturday,10
730-50-9884,C,Houston,Normal,Female,Sports and travel,581.42,610.491,2019-03-05,14:31:00,Ewallet,4.0,29.071000000000026,March,Tuesday,14
362-58-8315,C,Houston,Normal,Male,Fashion accessories,382.6,401.73,2019-03-25,10:23:00,Cash,9.9,19.129999999999995,March,Monday,10
633-44-8566,A,Nueva York,Member,Male,Food and beverages,345.66,362.943,2019-03-27,20:35:00,Credit card,7.3,17.28299999999996,March,Wednesday,20
504-35-8843,A,Nueva York,Normal,Male,Sports and travel,42.47,44.5935,2019-01-02,16:57:00,Cash,5.7,2.1235,January,Wednesday,16
318-68-5053,B,Chicago,Normal,Female,Health and beauty,461.94,485.037,2019-02-27,17:55:00,Cash,6.1,23.09699999999998,February,Wednesday,17
565-80-5980,C,Houston,Member,Female,Home and lifestyle,189.52,198.996,2019-01-23,10:25:00,Cash,7.1,9.475999999999999,January,Wednesday,10
225-32-0908,C,Houston,Normal,Female,Sports and travel,448.6,471.03,2019-01-26,19:54:00,Ewallet,8.2,22.42999999999995,January,Saturday,19
873-51-0671,A,Nueva York,Member,Female,Sports and travel,153.86,161.553,2019-01-10,16:42:00,Ewallet,5.1,7.692999999999984,January,Thursday,16
152-08-9985,B,Chicago,Member,Male,Health and beauty,579.24,608.202,2019-03-12,12:09:00,Credit card,8.6,28.96199999999999,March,Tuesday,12
512-91-0811,C,Houston,Normal,Male,Health and beauty,89.75,94.2375,2019-02-06,20:05:00,Credit card,6.6,4.487499999999997,February,Wednesday,20
594-34-4444,A,Nueva York,Normal,Male,Electronic accessories,97.16,102.018,2019-03-08,20:38:00,Ewallet,7.2,4.858000000000004,March,Friday,20
766-85-7061,B,Chicago,Normal,Male,Health and beauty,878.7,922.635,2019-03-29,10:25:00,Ewallet,5.1,43.934999999999945,March,Friday,10
871-39-9221,C,Houston,Normal,Female,Electronic accessories,74.7,78.435,2019-02-09,13:11:00,Cash,4.1,3.7349999999999994,February,Saturday,13
865-92-6136,A,Nueva York,Normal,Male,Food and beverages,158.25,166.1625,2019-03-23,10:16:00,Ewallet,9.3,7.912499999999994,March,Saturday,10
733-01-9107,B,Chicago,Normal,Male,Home and lifestyle,496.2,521.01,2019-03-05,18:14:00,Cash,7.4,24.810000000000002,March,Tuesday,18
163-56-7055,C,Houston,Member,Male,Fashion accessories,48.71,51.1455,2019-03-26,19:20:00,Cash,4.1,2.4354999999999976,March,Tuesday,19
189-98-2939,C,Houston,Normal,Male,Fashion accessories,706.95,742.2975,2019-03-01,13:22:00,Cash,7.2,35.34749999999997,March,Friday,13
551-21-3069,C,Houston,Normal,Female,Electronic accessories,207.63,218.0115,2019-02-01,11:27:00,Cash,4.9,10.381500000000017,February,Friday,11
212-62-1842,A,Nueva York,Normal,Male,Food and beverages,349.56,367.038,2019-03-28,16:44:00,Cash,9.9,17.47800000000001,March,Thursday,16
716-39-1409,B,Chicago,Normal,Male,Health and beauty,212.45,223.0725,2019-03-19,18:19:00,Cash,8.0,10.622500000000002,March,Tuesday,18
704-48-3927,A,Nueva York,Member,Male,Electronic accessories,886.7,931.035,2019-01-12,14:50:00,Ewallet,7.3,44.33499999999992,January,Saturday,14
628-34-3388,C,Houston,Normal,Male,Fashion accessories,164.28,172.494,2019-01-05,20:54:00,Credit card,7.9,8.213999999999999,January,Saturday,20
630-74-5166,A,Nueva York,Normal,Male,Sports and travel,372.78,391.419,2019-03-22,20:19:00,Cash,7.4,18.63900000000001,March,Friday,20
588-01-7461,C,Houston,Normal,Female,Food and beverages,305.82,321.111,2019-03-24,10:43:00,Cash,4.2,15.290999999999997,March,Sunday,10
861-77-0145,C,Houston,Member,Male,Electronic accessories,819.7,860.685,2019-03-03,14:30:00,Cash,9.2,40.9849999999999,March,Sunday,14
479-26-8945,B,Chicago,Member,Female,Sports and travel,32.98,34.629,2019-02-05,11:32:00,Ewallet,4.6,1.649000000000001,February,Tuesday,11
210-67-5886,C,Houston,Member,Female,Health and beauty,294.63,309.3615,2019-02-05,10:41:00,Credit card,7.8,14.731499999999983,February,Tuesday,10
227-78-1148,B,Chicago,Normal,Female,Fashion accessories,509.88,535.374,2019-02-15,12:44:00,Cash,8.4,25.494000000000028,February,Friday,12
645-44-1170,A,Nueva York,Member,Male,Home and lifestyle,522.63,548.7615,2019-01-19,20:07:00,Ewallet,4.3,26.13149999999996,January,Saturday,20
237-01-6122,C,Houston,Member,Female,Home and lifestyle,727.11,763.4655,2019-02-01,20:31:00,Credit card,9.5,36.355500000000006,February,Friday,20
225-98-1496,C,Houston,Normal,Female,Fashion accessories,81.06,85.113,2019-03-02,13:01:00,Credit card,7.1,4.052999999999997,March,Saturday,13
291-32-1427,B,Chicago,Member,Male,Fashion accessories,109.7,115.185,2019-03-05,12:29:00,Ewallet,5.3,5.484999999999999,March,Tuesday,12
659-65-8956,B,Chicago,Member,Male,Fashion accessories,51.36,53.928,2019-01-16,15:26:00,Ewallet,5.2,2.567999999999998,January,Wednesday,15
642-32-2990,A,Nueva York,Normal,Female,Food and beverages,109.6,115.08,2019-02-02,20:48:00,Ewallet,6.0,5.480000000000004,February,Saturday,20
378-24-2715,B,Chicago,Normal,Male,Home and lifestyle,106.88,112.224,2019-01-20,20:38:00,Ewallet,4.1,5.344000000000008,January,Sunday,20
638-60-7125,A,Nueva York,Normal,Female,Electronic accessories,796.48,836.304,2019-02-14,17:03:00,Credit card,5.2,39.823999999999955,February,Thursday,17
659-36-1684,C,Houston,Member,Male,Sports and travel,399.84,419.832,2019-01-12,12:02:00,Credit card,6.5,19.99200000000002,January,Saturday,12
219-22-9386,B,Chicago,Member,Male,Sports and travel,899.64,944.622,2019-03-09,17:26:00,Credit card,4.2,44.98199999999997,March,Saturday,17
336-78-2147,C,Houston,Member,Male,Home and lifestyle,511.28,536.844,2019-03-13,19:52:00,Credit card,4.6,25.564000000000078,March,Wednesday,19
268-27-6179,B,Chicago,Member,Female,Fashion accessories,451.76,474.348,2019-03-09,14:57:00,Ewallet,7.3,22.588000000000022,March,Saturday,14
668-90-8900,A,Nueva York,Normal,Female,Home and lifestyle,655.83,688.6215,2019-03-10,18:44:00,Credit card,4.5,32.79149999999993,March,Sunday,18
870-54-3162,A,Nueva York,Normal,Female,Sports and travel,161.25,169.3125,2019-01-27,13:26:00,Cash,9.0,8.0625,January,Sunday,13
189-08-9157,C,Houston,Normal,Female,Fashion accessories,285.57,299.8485,2019-01-08,16:17:00,Credit card,5.9,14.278500000000008,January,Tuesday,16
663-86-9076,C,Houston,Member,Female,Food and beverages,548.32,575.736,2019-01-08,15:57:00,Ewallet,8.5,27.41599999999994,January,Tuesday,15
549-84-7482,B,Chicago,Normal,Female,Sports and travel,812.52,853.146,2019-02-08,11:15:00,Ewallet,7.2,40.625999999999976,February,Friday,11
191-10-6171,B,Chicago,Normal,Female,Fashion accessories,277.34,291.207,2019-01-25,13:18:00,Cash,7.5,13.867000000000019,January,Friday,13
802-70-5316,A,Nueva York,Member,Female,Sports and travel,552.78,580.419,2019-03-06,20:34:00,Cash,8.3,27.63900000000001,March,Wednesday,20
695-51-0018,B,Chicago,Normal,Female,Sports and travel,139.36,146.328,2019-02-10,18:36:00,Cash,7.4,6.967999999999989,February,Sunday,18
590-83-4591,B,Chicago,Member,Male,Electronic accessories,524.7,550.935,2019-02-17,14:40:00,Credit card,8.8,26.2349999999999,February,Sunday,14
483-71-1164,C,Houston,Normal,Female,Health and beauty,487.8,512.19,2019-03-08,16:43:00,Ewallet,5.3,24.390000000000043,March,Friday,16
597-78-7908,C,Houston,Normal,Male,Fashion accessories,270.66,284.193,2019-02-18,19:39:00,Cash,6.2,13.532999999999959,February,Monday,19
700-81-1757,A,Nueva York,Normal,Female,Electronic accessories,131.55,138.1275,2019-01-18,20:59:00,Credit card,8.8,6.577499999999986,January,Friday,20
354-39-5160,A,Nueva York,Member,Female,Home and lifestyle,206.52,216.846,2019-02-18,15:39:00,Cash,9.8,10.325999999999993,February,Monday,15
241-72-9525,B,Chicago,Normal,Male,Sports and travel,519.1,545.055,2019-02-16,12:21:00,Cash,8.2,25.954999999999927,February,Saturday,12
575-30-8091,A,Nueva York,Normal,Male,Sports and travel,580.0,609.0,2019-03-16,19:25:00,Ewallet,9.2,29.0,March,Saturday,19
731-81-9469,C,Houston,Member,Female,Sports and travel,898.0,942.9,2019-01-23,13:00:00,Credit card,5.4,44.89999999999998,January,Wednesday,13
280-17-4359,C,Houston,Member,Male,Health and beauty,905.0,950.25,2019-01-25,13:48:00,Cash,8.1,45.25,January,Friday,13
338-65-2210,C,Houston,Member,Female,Health and beauty,686.0,720.3,2019-02-05,19:57:00,Cash,9.1,34.299999999999955,February,Tuesday,19
488-25-4221,C,Houston,Member,Female,Food and beverages,30.41,31.9305,2019-02-22,10:36:00,Credit card,8.4,1.5204999999999984,February,Friday,10
239-10-7476,A,Nueva York,Normal,Female,Home and lifestyle,467.7,491.085,2019-01-21,16:37:00,Ewallet,8.0,23.38499999999999,January,Monday,16
458-41-1477,C,Houston,Normal,Female,Health and beauty,277.56,291.438,2019-03-08,17:11:00,Credit card,9.5,13.877999999999986,March,Friday,17
685-64-1609,A,Nueva York,Member,Female,Fashion accessories,301.4,316.47,2019-02-10,12:28:00,Ewallet,9.2,15.07000000000005,February,Sunday,12
568-90-5112,C,Houston,Normal,Male,Health and beauty,264.56,277.788,2019-03-19,12:46:00,Credit card,5.6,13.228000000000009,March,Tuesday,12
262-47-2794,B,Chicago,Member,Male,Home and lifestyle,574.88,603.624,2019-03-06,15:07:00,Credit card,6.2,28.744000000000028,March,Wednesday,15
238-49-0436,A,Nueva York,Normal,Male,Health and beauty,259.68,272.664,2019-03-27,13:48:00,Credit card,4.9,12.98399999999998,March,Wednesday,13
608-96-3517,B,Chicago,Member,Female,Fashion accessories,366.16,384.468,2019-03-23,19:20:00,Credit card,4.8,18.307999999999993,March,Saturday,19
584-86-7256,C,Houston,Member,Male,Sports and travel,241.92,254.016,2019-03-11,16:07:00,Credit card,7.3,12.096000000000004,March,Monday,16
746-94-0204,A,Nueva York,Normal,Male,Fashion accessories,749.16,786.618,2019-01-29,11:56:00,Credit card,7.4,37.458000000000084,January,Tuesday,11
214-17-6927,C,Houston,Normal,Female,Food and beverages,98.88,103.824,2019-02-07,18:23:00,Ewallet,9.9,4.944000000000003,February,Thursday,18
400-89-4171,C,Houston,Normal,Female,Sports and travel,647.76,680.148,2019-01-28,13:05:00,Cash,9.3,32.388000000000034,January,Monday,13
782-95-9291,A,Nueva York,Member,Male,Food and beverages,461.45,484.5225,2019-02-20,15:55:00,Credit card,9.0,23.07249999999999,February,Wednesday,15
279-74-2924,B,Chicago,Member,Male,Electronic accessories,72.17,75.7785,2019-01-04,19:40:00,Cash,6.1,3.6084999999999923,January,Friday,19
307-85-2293,B,Chicago,Normal,Male,Home and lifestyle,251.4,263.97,2019-03-07,13:58:00,Ewallet,9.7,12.570000000000022,March,Thursday,13
743-04-1105,B,Chicago,Member,Male,Health and beauty,874.98,918.729,2019-03-30,14:43:00,Ewallet,6.0,43.749000000000024,March,Saturday,14
423-57-2993,B,Chicago,Normal,Male,Sports and travel,560.34,588.357,2019-03-27,19:18:00,Ewallet,10.0,28.01699999999994,March,Wednesday,19
894-41-5205,C,Houston,Normal,Female,Food and beverages,345.44,362.712,2019-01-19,19:39:00,Credit card,8.3,17.27199999999999,January,Saturday,19
275-28-0149,A,Nueva York,Normal,Male,Sports and travel,63.69,66.8745,2019-02-25,16:21:00,Cash,6.0,3.1845,February,Monday,16
101-17-6199,A,Nueva York,Normal,Male,Food and beverages,320.53,336.5565,2019-03-13,19:44:00,Credit card,7.0,16.026500000000055,March,Wednesday,19
423-80-0988,C,Houston,Normal,Male,Sports and travel,152.8,160.44,2019-01-30,19:42:00,Ewallet,6.5,7.639999999999986,January,Wednesday,19
548-46-9322,B,Chicago,Normal,Male,Food and beverages,399.0,418.95,2019-02-20,15:24:00,Credit card,5.9,19.94999999999999,February,Wednesday,15
505-02-0892,B,Chicago,Member,Male,Health and beauty,340.56,357.588,2019-02-25,14:12:00,Ewallet,5.6,17.02800000000002,February,Monday,14
234-65-2137,C,Houston,Normal,Male,Home and lifestyle,955.8,1003.59,2019-01-16,13:32:00,Cash,4.8,47.79000000000008,January,Wednesday,13
687-47-8271,A,Nueva York,Normal,Male,Fashion accessories,989.8,1039.29,2019-02-08,16:20:00,Credit card,8.7,49.49000000000001,February,Friday,16
796-32-9050,A,Nueva York,Normal,Male,Food and beverages,307.68,323.064,2019-01-19,16:31:00,Cash,6.5,15.384000000000015,January,Saturday,16
105-31-1824,A,Nueva York,Member,Male,Sports and travel,486.64,510.972,2019-02-01,15:10:00,Credit card,8.5,24.331999999999994,February,Friday,15
249-42-3782,A,Nueva York,Normal,Male,Health and beauty,350.05,367.5525,2019-01-03,11:36:00,Ewallet,5.5,17.502499999999998,January,Thursday,11
316-55-4634,B,Chicago,Member,Male,Food and beverages,400.25,420.2625,2019-01-26,12:45:00,Credit card,9.4,20.01249999999999,January,Saturday,12
733-33-4967,C,Houston,Normal,Male,Electronic accessories,166.8,175.14,2019-03-03,19:17:00,Cash,6.3,8.339999999999975,March,Sunday,19
608-27-6295,B,Chicago,Member,Male,Electronic accessories,317.34,333.207,2019-01-19,17:34:00,Credit card,9.8,15.867000000000019,January,Saturday,17
414-12-7047,B,Chicago,Normal,Male,Food and beverages,158.32,166.236,2019-01-18,12:04:00,Ewallet,8.7,7.915999999999997,January,Friday,12
827-26-2100,A,Nueva York,Member,Male,Home and lifestyle,304.56,319.788,2019-03-21,16:21:00,Ewallet,8.8,15.228000000000009,March,Thursday,16
175-54-2529,A,Nueva York,Member,Male,Food and beverages,177.36,186.228,2019-03-03,17:01:00,Credit card,9.6,8.867999999999995,March,Sunday,17
139-52-2867,C,Houston,Normal,Female,Fashion accessories,157.57,165.4485,2019-02-13,10:50:00,Credit card,4.8,7.8785000000000025,February,Wednesday,10
407-63-8975,A,Nueva York,Normal,Male,Food and beverages,443.28,465.444,2019-03-23,19:16:00,Ewallet,4.4,22.164000000000044,March,Saturday,19
342-65-4817,C,Houston,Member,Male,Health and beauty,260.4,273.42,2019-01-28,16:47:00,Ewallet,9.9,13.020000000000039,January,Monday,16
130-98-8941,C,Houston,Normal,Male,Fashion accessories,449.82,472.311,2019-02-09,10:00:00,Cash,5.7,22.490999999999985,February,Saturday,10
434-83-9547,C,Houston,Member,Male,Food and beverages,307.76,323.148,2019-01-23,11:51:00,Cash,7.7,15.388000000000034,January,Wednesday,11
851-28-6367,A,Nueva York,Member,Male,Sports and travel,155.0,162.75,2019-03-23,10:55:00,Ewallet,8.0,7.75,March,Saturday,10
824-88-3614,C,Houston,Normal,Male,Health and beauty,274.48,288.204,2019-01-25,15:00:00,Ewallet,5.7,13.72399999999999,January,Friday,15
